电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
我是山姆,2001,132,,"http://pan.baidu.com/s/1i4QkHEX, http://www.pniao.com/p/zimu/10/1528116005.srt, ed2k://|file|我是山姆.I.Am.Sam.2001.BD.MiniSD-TLF.mkv|1007839085|786643463760FDE5070FE194653BB21F|/, magnet:?xt=urn:btih:BCAC39DCF7863833335E8EA0599977848B367BDD&www=pniao.com, magnet:?xt=urn:btih:5edfa374e5a6be91921a99ac000cc4d6e913ef31&dn=I.Am.Sam.2001.BluRay.720p.DTS.x264-CHD&www=pniao.com, magnet:?xt=urn:btih:16ce6a9549a900b1a281628122363ca3471898b6&dn=I.Am.Sam.2001.BluRay.720p.x264.DTS-HDWinG&www=pniao.com, magnet:?xt=urn:btih:c9aaf11083b898b1acc81cf5ffa3502987cd2b4a&dn=I.Am.Sam.2001.720p.Bluray.X264-DIMENSION.mkv&www=pniao.com, magnet:?xt=urn:btih:5c3698269b30ea632fd3f98b6121ceddcd332755&dn=I.Am.Sam.2001.720p.BluRay.DD5.1.x264-EbP&www=pniao.com, magnet:?xt=urn:btih:4efcb676f9e0d59661c9be9262f8bac76aec1130&dn=I.Am.Sam.2001.BluRay.1080p.DTS.x264-CHD&www=pniao.com, magnet:?xt=urn:btih:197b673300689f66e203e89e02a0d76cbd33e9ae&dn=I+Am+Sam+2001+1080p+Bluray+X264-DIMENSION&www=pniao.com, magnet:?xt=urn:btih:bcda7153c2b53f1060c1c88bd472926c5fc1cc7a&www=pniao.com, magnet:?xt=urn:btih:ab9dc84abc2ca7b7cf1e711cb71de0ae7d2261f1&www=pniao.com, magnet:?xt=urn:btih:159B7C025A21A3F10914BA222B4A2616DBFAA5D6&www=pniao.com",杰茜·尼尔森,西恩·潘,"剧情,家庭",美国,8.8,60,由杰茜·尼尔森执导，由西恩·潘、达科塔·法宁、米歇尔·菲佛等主演的剧情片，讲述了一个智商只有相当于七岁孩童的父亲，出于一份与生俱来的父爱，依靠一份咖啡店的杂工，决心要与有关当局争夺女儿抚养权以及期间发生的动人故事，影片还加入了许多由歌星翻唱...
丑陋的真相,2009,,,,罗伯特·路克蒂克,凯瑟琳·海格尔,"喜剧,爱情",美国,6.7,4,艾比（凯瑟琳·海格尔l饰）是同事眼中的完美女神，作为早间电视节目制作人的她不仅事业有成，而且还有着一张精致漂亮的脸蛋。但令同事们困扰的是，这样完美的艾比，年近三十却依然单身。只有艾比心里清楚，自己之所以单身，是因为心目中的那个完美先生还没有...
花园精灵,2018,,,,彼得·莱佩尼奥蒂斯,贝姬·戈麦斯,动画,加拿大,,7,SmithGlobal影业买下3QU动画电影[花园精灵](GnomeAlone，暂译)发行权。[花园精灵]讲述了一位名叫克洛伊的高中女生，在花园里装饰物们的陪伴下，融入学校生活的故事。影片将于近期上映。
黑盒子,2017,105,感谢！,"https://pan.baidu.com/s/1scpzNobLJNbyj7eZaTqv6w 密码:7wgz, http://www.pniao.com/p/zimu/9/1528106298.zip, magnet:?xt=urn:btih:B3D5D3012B5A1FEB59302683365B4BD951440FD0&www=pniao.com, magnet:?xt=urn:btih:92C9E31E70B9499BF26857F144F5D4562A54765C&www=pniao.com",SadracGonzález-Perel,LowenaMcDonell,"剧情,科幻,恐怖",西班牙,4.9,52,西班牙科幻惊悚片，本片荣获2017富川国际奇幻电影节评审团特别奖。面对神秘难解的复杂过往，你的罪孽将周而复始…！ 13岁女孩爱丽丝在一场车祸意外之后，不仅痛失挚爱的母亲，也失去了自己的右手，自此之后和父亲亚当同住在深林中。痛恨父亲的爱丽丝封...
港口的日本姑娘,1933,72,Good,"http://pan.baidu.com/share/link?shareid=157032&uk=1311503889#list/path=/&parentPath=/清水宏, magnet:?xt=urn:btih:10BFA48893F0C26F915CAD0A74A799404DA7EEC6&www=pniao.com",清水宏,及川道子,剧情,日本,8.2,11,美丽宁静的横滨港，生活着一对亲密无间的好朋友，她们是黑川砂子（及川道子饰）和朵拉（井上雪子饰）。两人志同道合，甚至爱上了同一个男孩亨利，最终砂子赢得了亨利（江川宇礼雄饰）的欢心，朵拉只能隐藏心中的爱，默默祝福着他们。然而，亨利只是个无所事事...
非常男女,2001,89,,"http://www.pniao.com/p/zimu/3/1528107722.srt, magnet:?xt=urn:btih:59db47712ed27cd45f74ae8ad9d8c9f0d77d4786&dn=Not.Another.Teen.Movie.2001.720p.BluRay.x264-SADPANDA[rarbg]&www=pniao.com, magnet:?xt=urn:btih:70ed3d2870261943726bc2f14e2e5eb117a29565&dn=Not.Another.Teen.Movie.2001.1080p.BluRay.x264-SADPANDA[rarbg]&www=pniao.com",乔尔·加兰,凯乐·利,喜剧,美国,5.8,4,约翰?休斯学院有一群怪异的学生，夺走无数少女心的四分卫杰克（克里斯?埃文斯ChrisEvans饰）因为不服从满口痰的教练安排被打入冷宫丧失了抛球技能，但这并未降低他的受欢迎程度，杰克前女友普瑞斯移情别恋爱上了DV小子，损友兼竞争对手奥斯汀则...
卡宾枪手,1963,75,,"https://pan.baidu.com/s/1J2cNllKHHNfQRFLiaiz5Cg 密码:ajal, ed2k://|file|卡宾枪手.The.Carabineers.1963.D5.MiniSD-TLF.mkv|923442071|A9056B9894DA2C947A14F146DEB9768E|h=DZAABJVVBJ26VV4SGTL7QX2Z7LVYL7V4|/",让-吕克·戈达尔,AlbertJuross,"剧情,喜剧,战争",法国,7.4,9,让-吕克·戈达尔导演作品。戈达尔最尖锐的反战电影。两个一无所有的农民被征召服兵役，还得到承诺战后可以摇身变为富翁。两人信以为真，离开故土和妻子到前线参战，结果回来时携带的所谓“财富”只是各地收集的明信片，后来两个人都在一场暴乱中被枪杀。
梦千代日记,1985,128,,https://pan.baidu.com/s/1jHUq94y?fid=512372439316421,浦山桐郎,吉永小百合,剧情,日本,,2,吉永小百合主演，在山区温泉乡汤村，有一家名为“春屋”的艺伎馆，老板梦千代，艺伎有渡边玉惠、菊奴、阿红、阿兔等人。梦千代从医院得知自己患了白血病，将不久于人世。在离开医院回家的火车上，有一个女人摔下了深谷，与她同行的叫石田的男人被捕。传说这个...
时间的皱折,2018,109,剧情渣·····小男主太可爱了~~正脸小天使，侧脸小李子~~3.5？？？这是有多难看啊......有这么难看么？？？什么时候能有中文字幕呢？豆瓣3.5分。。。,"https://pan.baidu.com/s/13CtHkzbFaOaTRG3qZeEnPg 密码:2l2x, https://pan.baidu.com/s/15vlGYx59VYkNTZscIX9yDw, magnet:?xt=urn:btih:cd06500b5011903eca2110c25fa4ee76b981b9cb&www=pniao.com, magnet:?xt=urn:btih:687BB628ECC873235ECE48B19154C3AEE0DCC931&www=pniao.com, magnet:?xt=urn:btih:936AE58D0DE87C7319E5C75F3C50BC60BBC72AFA&www=pniao.com, magnet:?xt=urn:btih:C11481A2A12B0FF5B5D9EF5C4816887722901648&www=pniao.com, magnet:?xt=urn:btih:98FA537CF7181726C1DFAC7E659DE4D007F7EC9C&www=pniao.com, magnet:?xt=urn:btih:8F4835E1DF3BA686F58AA882B88DB6BFCDDA61A2&www=pniao.com, magnet:?xt=urn:btih:C20D867456E8C87D6BCE548E201DFC217238FD9B&www=pniao.com",艾娃·德约列,斯托姆·瑞德,"科幻,奇幻,冒险",美国,3.5,49,"影片根据同名小说《AWrinkleinTime》改编，讲述在科学家父亲(克里斯·派恩饰)意外失踪以后，小女主Meg在Mrs.Who(敏迪·卡琳饰),Mrs.Whatsit(瑞希饰),Mrs.Which(奥普拉饰)这三位奇异的仙灵生物的帮助下..."
冠军,2018,108,分辨率太低，没法看，等高清资源把为什么还是无字,"https://pan.baidu.com/share/init?surl=Km4oeRxOTR64bOBbbvEe3Q 密码:bx5l, magnet:?xt=urn:btih:94E7F0F6C3B63C82E94221BB82C66DABFC965EFC&www=pniao.com, magnet:?xt=urn:btih:0CF8B0F1528A2D2ACA112C40E432403A10E39529&www=pniao.com",金勇完,马东锡,剧情,韩国,6.3,60,由马东锡，韩艺璃等主演的韩国电影，是韩国首部以掰腕子比赛作为主题的电影。 在美国洛杉矶夜店工作的马克（马东石饰），一直梦想在腕力比赛中成为世界冠军，被自认是他经纪人的晋基（权律饰）说服，回到韩国参加全国腕力大赛。 除了比赛之外，晋基还送了从...
无人知晓,2004,141,太谢谢啦！！！虽然这里不显示但是在消息提示里有一位给我的回复和推荐万分感谢哪位大神给说说法版日版蓝光的优劣自己强迫症,"https://pan.baidu.com/s/1W88DjIm7FWlC9zJTW1SJzQ 密码:2npt, http://www.pniao.com/p/zimu/11/1528106486.srt, ed2k://|file|无人知晓.Nobody.Knows.2004.BD.MiniSD-TLF.mkv|1285448984|320461AE568BFB224108804BCCEA8491|h=KVEDMY5XOGX2DACW2DHDHK4FR45NO25I|/, ed2k://|file|无人知晓.Nobody.Knows.2004.BD.HEVC.10bit.MiniHD-TLF.mkv|2040517596|26E46F1D8718D86201ABB4913D6E4D49|h=3ZHSCTWZJEQBGDVGF46PQ5JCMUL743LI|/, ed2k://|file|无人知晓.Nobody+Knows.2004.BD720P.日语中字.mkv|2061053260|89967A981D56AD0B8F36A9E21CCF956C|h=2XHOYVP7PG6BDPFUY7G4DEEB6YW2L6NQ|/, magnet:?xt=urn:btih:e6886229e5b1a54f8d9d963c9ca70f24a08785e7&www=pniao.com, magnet:?xt=urn:btih:DD3D60F44DCBF718EE9F2D39575AE149F37590F0&www=pniao.com, magnet:?xt=urn:btih:B82FDF8530514B120BD3335C7132CD3F32245127&www=pniao.com, magnet:?xt=urn:btih:109af8a139d72c7ee5561c7bd2e10e1b5634b266&dn=Nobody.Knows.2004.1080p.BluRay.x264-USURY&tr=http://tracker.trackerfix.com:80/announce&tr=udp://9.rarbg.me:2710&tr=udp://9.rarbg.to:2710&www=pniao.com, magnet:?xt=urn:btih:f17d624edb3ea5502eabb8dea70934952fb6e22e&www=pniao.com",是枝裕和,柳乐优弥,剧情,日本,9,238,第57届戛纳电影节(2004)主竞赛单元最佳男演员奖，是枝裕和编导作品，柳乐优弥、北浦爱、木村飞影、清水萌萌子、韩英惠等主演。根据真实事件改编，讲述了东京一个单亲家庭，四个兄弟姊妹被母亲抛弃后，独自生活的故事。 新搬来的公寓这家人是母亲惠子...
怪奇秀,2017,95,,"https://pan.baidu.com/s/1t1OYW90vZTXiKBOtIe4BxA 密码:fhp8, http://www.pniao.com/p/zimu/11/1528104238.zip, http://www.pniao.com/p/zimu/2/1517213720.ass, magnet:?xt=urn:btih:B6CAD7378C2B6BDDDCE1C83F2428FE28D111DAB4&www=pniao.com, magnet:?xt=urn:btih:8DF08C44B74EC92A1F9D8AAF71A2E5E7DBAEE85F&www=pniao.com, magnet:?xt=urn:btih:08F5A79F20FDE106F07E7D42B3B2CCFFFE5D0F28&www=pniao.com, magnet:?xt=urn:btih:7F89EEAE08CB128C0BFA373E5F639DC23B7F58B4&www=pniao.com, magnet:?xt=urn:btih:FA618C7D71542E82430539364C18055827C28ACB&www=pniao.com, magnet:?xt=urn:btih:9C83AE43A54073F90E79CB440286A8320BD68819&www=pniao.com",楚蒂·斯泰勒,阿比盖尔·布蕾斯琳,"剧情,喜剧",美国,7.3,109,"英剧""去他妈的世界""小男主埃里克斯·劳瑟主演的新片。他在本片中饰演一位变装皇后。影片改编自JamesSt.James的同名小说。劳瑟饰演的男孩比利被母亲送到了一所校风保守的学校，造型怪异浮夸的他很快就成为大家吐槽的对象。..."
京都妖怪地图3烏山上800岁的女大学生,1985,90,,"https://pan.baidu.com/s/1Hb22R_SJ7PswiKxuUOxwsg 密码:cj78, ed2k://|file|京都妖怪地図3+烏辺山に棲む800歳の女子大生+(1985).亿万同人字幕组&橘里橘气字幕组+(pniao.com).mp4|565237570|a70e8d20c0b3138727f82279efea1198|h=kajpfexeur42vrqxvupy5kb35wodtsmv|/, magnet:?xt=urn:btih:5b6b95cb6e93a1e367121b6eecf5b9fc55ba950b&www=pniao.com",若松节朗,三矢歌子,恐怖,日本,,7,女人之间的爱情是美丽的极其残酷的又充满着猜忌 东山女子大学的女历史学助教授佐竹对“松虫和铃虫”的传说极为着迷，并在京都鸟边山发掘出了名为“铃虫”的女性骸骨。 不久后她遇见了班级里的转学生古河铃子，爱火迅速在二人之间蔓延。殊不知铃子的真实身份...
今日,2012,86,,https://pan.baidu.com/s/1gEifE1QyPqOoT4y8uTVzSQ+密码：jbey 密码:jbey,阿兰·戈米斯,SaülWilliams,剧情,法国,6.8,9,影片入围2012年柏林电影节主竞赛单元~《菲丽希缇》导演阿兰·戈米斯之前的作品！人生就是进了厨房却忘了自己要找什么，一日即一生，用生前的最后一天，与家人，朋友，爱人，孩子还有旧情人的别过，坦然面对人生生死，面对得失长短，把握看似日复一日的今...
花之武者,2006,127,好东西看来那批日版蓝光终于都来了万分感谢,"https://pan.baidu.com/s/1eP1K6-5Um42bwR91Kh28Zg 密码:nany, http://www.pniao.com/p/zimu/10/1528099178.srt, ed2k://|file|花之武者.Hana.Yori.Mo.Naho.2006.D9.MiniSD_zZ.mkv|836232580|F2BEBDC638B68199B118EF5A6A34B3D6|h=XNOMXPBQISFLT5HDZGCMJEEKX4QPLZPR|/, magnet:?xt=urn:btih:839D5B4152F92621A316414826413467665C20FC&www=pniao.com, magnet:?xt=urn:btih:74102da71aff18897fb42abf9c7d7a41126b39d9&www=pniao.com",是枝裕和,冈田准一,"剧情,喜剧",日本,6.8,84,喜剧片。是枝裕和编剧、导演，冈田准一、宫泽理惠、浅野忠信、古田新太、香川照之主演， 该片改编自藤泽周平所著同名小说，讲述为了追击杀父仇人，远离家乡松本上京的乡下武士青木宗左卫门，对当地一个美貌的旅店老板未亡人一见钟情后，最终他舍弃了只为复仇...
爱你，西蒙,2018,110,所有官方字幕都花钱来的，R3/iTunes/BD/Netflix等都要花钱有的甚至还要人肉ocr全都不是天上掉的，不是地上蹦出来的苦劝你们，真的只能苦劝而已引用他人金钱/??劳动付出。一定要注明来源网站/作者你们不过是拿我花钱买的片...拿我花钱转好的mp4把字幕抽出而已结果你们还加了你们的网址你们的信息到字幕里面！ ！ ！搞得好像你们功劳！ ！ ！真是哗了狗了我！@没品电影购买/出租的iTunes电影，因格式为m4p无法直接播放或取出字幕因为是加密的，即使把传给别人也无法取出字幕只有购买人的装置中含有金钥可以iTunes播放唯一解法是使用付费软件把m4p转mp4转档，这必须原购买装置底下施行然后就可从转好的mp4中取出字幕你百度网盘可以直接在手机端下载吗不错，比较有趣，不恶心，可以看看另一个男生演员在现实里也出柜了喜欢喜欢又下不了了感谢！哈哈哈哈哈哈感谢QAF也出了想问下为啥我下AMZN那个片源，为啥没声音啊。。。感谢！谢谢分享亲们，我知道怎么看了，首先先把视频下载下来，是自带中字，但必须要用“potplayer播放器”看，字幕才可以显示出来，有几秒错位，调整一下就行了百度云挂好快百度云没挂，点击后链接为“http://www.pniao.com/Mov/one/链接：https://pan.baidu.com/s/1abs8mgLeA0BOVvxnHrK6Gw”，然后你把前半部分删掉，留下https://pan.baidu.com/s/1abs8mgLeA0BOVvxnHrK6Gw就好了。走点心啊字幕不管用啊，不会显示下午在微博保存到网盘的的，刚下载好了百度云挂了？？？AMZN的资源还没动。。。看到了13个原因里的汉娜射射楼上反馈。下AMZN版本客气 我是站长【说明】CMRG压制组压的720p/1080p开头有点卡顿的情况，开头25秒-5分钟这段播放不了、FGT小组是偷的CMRG的片源直接把压制组名字改成他们组，片源同样的有问题。建议用亚马逊（AMZN）的1080p的片源没有字幕啊……你好好看看资源后面的字。我就想知道怎么看有字幕的...跪谢跪谢 没想到这么快就出了！么么哒 飞吻云盘超快！谢谢！！这么快就出资源了啊，坐等字幕全网最快！打call 了，但是目前下不了……求指路全试了一遍。。度盘迅雷都下载不成功，求大神指个路吧搓手等到花儿都谢了我也在等着！签到，在线等，嘿嘿已经迫不及待了焦急等待中等了好久还没出来呜呜呜呜嗯，今天29号了，坐等之,"https://pan.baidu.com/s/14HS9pHAqib7OGKP1WS8S9w 密码:q0tl, http://www.pniao.com/p/zimu/10/1527870860.srt, http://www.pniao.com/p/zimu/9/1527754844.srt, ed2k://|file|爱你.西蒙.Love.Simon.2018.1080p.BluRay.x264.中英字幕-Fantopia(pniao.com).mp4|1694726386|abe2b14c055088607aa68788db4224ee|h=63gh4gczlnr6lcqlsg42kz6l6qh2qxjs|/, ed2k://|file|[爱你.西蒙].Love.Simon.2018.720p.WEB-DL.x264.AAC-QaFoNE.mkv|1500841338|76D89B917E1BA08871726A40E55ED2AD|h=VEFK6Y5GQ6UVOU5UQC3HYKZEINVP5SYH|/, magnet:?xt=urn:btih:6c2eb36c3f983cc96b8d8a2ad0f9a2beb8b88c52&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.bto&www=pniao.com, magnet:?xt=urn:btih:1737F3AECD9CCF7D9AB6135CED7764E93A9A369B&www=pniao.com, magnet:?xt=urn:btih:B2A0D36BAFA18907D50B7CF271226F21DACAAFD5&www=pniao.com, magnet:?xt=urn:btih:878BF1D52E95A68D284993892C0FC0804E3F4F07&www=pniao.com, magnet:?xt=urn:btih:C129998DB23DE523D23C0D2661F20E5A429612A5&www=pniao.com, magnet:?xt=urn:btih:2FBAAD56907231325F6005A08E2D903BDA1D5E87&www=pniao.com, magnet:?xt=urn:btih:4EC7DE5CAB56518556921BDDC08C899D4038B5B7&www=pniao.com, magnet:?xt=urn:btih:88F3C21143CDDACD0319975C3C567C8CEDF3FFD2&www=pniao.com, magnet:?xt=urn:btih:0EDDBB6AD86C363977C9BFABD48EFDECF9764D41&www=pniao.com, ed2k://|file|[爱你.西蒙].Love.Simon.2018.1080p.WEB-DL.x264.AC3-QaFoNE.mkv|3002576855|3355FD13F94C0671F4F6763B33DF3B14|h=N6XHSV65CYVYOJBZO5LGMKKJ3S2STVQB|/, magnet:?xt=urn:btih:9c20aca13325ea999eb5b9ba54aa279bb7da5b21&www=pniao.com",格里格·伯兰蒂,尼克·罗宾森,"剧情,爱情,同性",美国,8.4,847,北美上映口碑炸裂，烂番茄92%，MTC72，IMDB8.1，豆瓣8.4，青春阳光又养眼的同志片，根据同名畅销小说改编改编，由格里格·伯兰蒂执导，尼克·罗宾森、凯瑟琳·兰福德、乔什·杜哈明、詹妮弗·加纳等主演。影片讲述17岁少年西蒙，为保护心...
距离,2001,132,好奇怪啊五部片子只有这部没有1080p的期待中没有中文字幕没有中文字幕,"http://pan.baidu.com/s/1c2KMOjY 密码:6meq, http://www.pniao.com/p/zimu/2/1528096545.srt, ed2k://|file|距离.Distance.2001.D9.MiniSD-TLF.mkv|1423494656|26F1411033B4F357884D3327DA60DBED|h=PDXLR766GVIRF4LFEMGJBLGNRMYALHJK|/, magnet:?xt=urn:btih:9231C1FE7C63744D085A6151B8B41F31422735E4&www=pniao.com",是枝裕和,浅野忠信,剧情,日本,7.5,123,"是枝裕和的第三部长片,井浦新，伊势谷友介参加演出。讲述了有一天5个人追寻望着兄长们的灵魂再一次来到一个深山林里，他们的亲人在几年前制造了恐怖事件，往水龙头的入水处投毒造成了多人死亡，随后投毒者也被教会杀害，来到这旅行的人们，他们的亲人既是恐..."
下一站，天国,1998,118,感谢 还好拖了HDTV的没开始看 可以看蓝光了但是这版字幕真的得改 错误好多自己对照英文快改完了 希望懂日语的朋友来改吧 接近原意的字幕才是对电影最大的体贴不好的字幕会悔半部电影网传的字幕错误很多，自己做了大量矫正，时间轴已调好，给喜欢片子的大家。链接：https://pan.baidu.com/s/1H_fVuc7P6J4dV4u6DZ8dww 密码：iao9万分感谢太棒了辛苦啦万分感谢！来了1080p的了辛苦啦,"http://pan.baidu.com/s/1skYtVkh 密码:z55t, http://www.pniao.com/p/zimu/3/1528095389.srt, http://www.pniao.com/p/zimu/2/1523646463.srt, ed2k://|file|下一站，天国.After.Life.1998.D9.MiniSD-TLF.mkv|753822581|E8FB1435B614B7185820ED4FAB23F258|h=JRANWGC6DS3OIJTUBOHGN5VZCUN7RANL|/, magnet:?xt=urn:btih:1FC69ED3F1667D768789A8A33D9EDDCF32D94198&www=pniao.com, magnet:?xt=urn:btih:d3dc3e303538316130b412ce1b9445d94a8a3ea7&www=pniao.com",是枝裕和,井浦新,剧情,日本,8.1,170,日本剧情片，是枝裕和执导，井浦新、小田绘梨花等主演。讲述了一个地处雪地的阴间亡灵报到处，每个星期都有一批新死者入院登记，思索一生最为珍贵的回忆，再由职员拍成“送终片”伴死者前往天堂。 纯洁无瑕的天国，宁静祥和。逝者乘坐通往天国的列车，来到位...
幻之光,1995,110,磁力的用迅雷下载没速度啊磁力的下载不成啊...1080p的也出来啦[修复画面拉丝问题]版本无法下载好东东。,"https://pan.baidu.com/s/1ydbjqqrink5HXhfnhWw1HQ 密码:hjqz, http://www.pniao.com/p/zimu/11/1528069655.srt, magnet:?xt=urn:btih:1C242BC9BBE7EE34465AAE19C10FF73C270132E5&www=pniao.com, magnet:?xt=urn:btih:75091A947137F0A76532AAF5568AFBA6ACEDAD5D&www=pniao.com",是枝裕和,江角真纪子,剧情,日本,8.3,206,是枝裕和电影处女作，日本爱情电影，由江角真纪子、内藤刚志、浅野忠信等出演，改编子宫本辉的同名短篇小说，讲述了主人公对于亲人之死不能释怀，思考“生与死”的人生命题，最终找到了答案的故事。缓缓地叙述了一个多次丧失亲人的女子的故事，展现了“生与死...
明日边缘,2014,,,"ed2k://|file|明日边缘.Edge.of.Tomorrow.2014.国英音轨.中英字幕.BDrip.720p.x264.深影论坛制作.mkv|2188011405|9013c849594191f04047a34a3060fa81|h=35srquinqmq3spq3vo4xgmpyvhkphmlu|/, ed2k://|file|Edge.of.Tomorrow.2014.明日边缘.双语字幕.HR-HDTV.AC3.1024X576.x264.mkv|1860824603|f36aae5c5427847c9e2897453774baf2|h=mjpabfosfagd2om5gfg52p7nacounbjp|/, ed2k://|file|明日边缘.Edge.of.Tomorrow.2014.BD.2Audio.MiniSD-TLF.mkv|970191494|AEC5EB29F9694956BE3D3019DAFF58C6|/, ed2k://|file|Edge.of.Tomorrow.2014.1080p.BluRay.x264.DTS-WiKi.mkv|11655623742|0163EEEF4B5AD1B859B5456D178254C1|h=2OHMGGEX4WR5UIBKAJSYVFAA6ACOND3W|/, ed2k://|file|Edge.of.Tomorrow.2014.1080p.Half-SBS.3D.BluRay.x264.DTS-WiKi.mkv|12044119112|FA2DDD32EA41AD3501F50E67FB6718F9|h=DOJLE4TYYPZU57Y2URI2AYLTSOTG4GVJ|/, ed2k://|file|Edge.of.Tomorrow.2014.720p.BluRay.x264.DTS-WiKi.mkv|6434795729|5B6B85AEB1C56E6A40E29C19A0C32206|h=ZEMIPPVME7AVO6QSK5RQJCKZ3TK7IILG|/, ed2k://|file|Edge.of.Tomorrow.2014.1080p.BluRay.x264-SPARKS.mkv|8525836430|AEF415A2688F32B2349AC4D3A97F6727|h=P4QAARJXHDYIGDJXDWLAS7ODCWVMDBIA|/, ed2k://|file|Edge.of.Tomorrow.2014.720p.BluRay.x264-SPARKS.mkv|5864145935|957842C1DD268D2D866F30D267831083|h=CCCMAQFLV3QG3J5JBGG7WPXCFWBINGYK|/, magnet:?xt=urn:btih:a7914440a20d7c20f9bea55e0a71fe7ab78df6d5&www=pniao.com, magnet:?xt=urn:btih:6989AD2947F41BFC34D515223CC9698B862C3E30&www=pniao.com, magnet:?xt=urn:btih:C69BCE3CF5D0AEA09B6D3F263591F9BE9BC35E7A&www=pniao.com, magnet:?xt=urn:btih:90390AFD0BE517D61A6B42BC0DB02FE452EF940E&www=pniao.com, magnet:?xt=urn:btih:1A535D0B1A0882B5618491CEDFB2348C2177F1B2&www=pniao.com, magnet:?xt=urn:btih:cd0f3b341b10d8dc562ade95972617f667cae55e&dn=[2014.09.20]明日边缘[2014年美国科幻动作(MKV)]（帝国出品）[高码版]&www=pniao.com, magnet:?xt=urn:btih:027b48d6b002c1685b3c997f54e08b02a5988e29&dn=明日边缘.Edge.of.Tomorrow.2014.BD1080P.X264.AC3.Mandarin&English.CHS-ENG.Adans&www=pniao.com, magnet:?xt=urn:btih:37D5B346E4348124F80775F5EFC1B94CBC2417FD&www=pniao.com, magnet:?xt=urn:btih:7d8d827fb4a5ebc2deb13e37b0d3890f715a63c6&www=pniao.com, magnet:?xt=urn:btih:3277c0ef3e5e7d94e8981125cce2a10e0388c8a5&www=pniao.com",道格·里曼,汤姆·克鲁斯,"动作,科幻",美国,8,49,道格·里曼执导的科幻动作电影，由汤姆·克鲁斯和艾米莉·布朗特等主演，改编自2004年日本轻小说《杀戮轮回》。 该片以神秘外星生物袭击地球为背景，少校比尔·凯奇首次出战就“折戟沙场”惨烈牺牲，但他却由于某种不明原因重获新生，在一次一次的生死循...
